n,seconds
355,0.0030796750
356,0.0031893890
357,0.0033445060
358,0.0031352890
359,0.0031619620
360,0.0031635330
361,0.0031021870
362,0.0031835290
363,0.0031927860
364,0.0033244310
365,0.0033334460
366,0.0034268960
367,0.0033721790
368,0.0032848820
369,0.0033776080
370,0.0034229350
371,0.0035431680
372,0.0033539280
373,0.0034287510
374,0.0033465660
375,0.0035396410
376,0.0034183120
377,0.0036381520
378,0.0037100110
379,0.0040111690
380,0.0036418930
381,0.0036146530
382,0.0034632810
383,0.0036182450
384,0.0035735220
385,0.0035374340
386,0.0036676050
387,0.0037093580
388,0.0037543930
389,0.0036419020
390,0.0038232640
391,0.0038202290
392,0.0037732300
393,0.0038589260
394,0.0038048080
395,0.0037390390
396,0.0038869600
397,0.0040682830
398,0.0039944640
399,0.0038076180
400,0.0042090180
401,0.0087099720
402,0.0040553900
403,0.0040192620
404,0.0042092830
405,0.0040344380
406,0.0040425860
407,0.0041581130
408,0.0041659460
409,0.0040768080
410,0.0040850330
411,0.0040309160
412,0.0040886190
413,0.0041095670
414,0.0044347720
415,0.0042219110
416,0.0042967750
417,0.0046631410
418,0.0042796590
419,0.0043311940
420,0.0043013120
421,0.0044627790
422,0.0043845270
423,0.0043659700
424,0.0043438520
425,0.0044510020
426,0.0044778910
427,0.0044869650
428,0.0047225700
429,0.0044825950
430,0.0045047530
431,0.0059074720
432,0.0049743570
433,0.0046248410
434,0.0047079120
435,0.0046977530
436,0.0045418310
437,0.0047515190
438,0.0045905240
439,0.0046638200
440,0.0047860890
441,0.0048374620
442,0.0048192500
443,0.0048072340
444,0.0047203250
445,0.0047706630
446,0.0047863440
447,0.0048306650
448,0.0048270650
449,0.0049407220
450,0.0048705220
451,0.0049292330
452,0.0051200020
453,0.0049888750
454,0.0051346750
455,0.0049897160
456,0.0052421470
457,0.0049936970
458,0.0051080490
459,0.0050421180
460,0.0052177560
461,0.0050759190
462,0.0051250500
463,0.0051452090
464,0.0053112450
465,0.0052503570
466,0.0052120890
467,0.0053609020
468,0.0061155130
469,0.0060896960
470,0.0083102060
471,0.0060476090
472,0.0057634820
473,0.0059339810
474,0.0055996970
475,0.0055830260
476,0.0055887300
477,0.0055609060
478,0.0056861730
479,0.0054676610
480,0.0057279490
481,0.0057493720
482,0.0055987180
483,0.0057699480
484,0.0056878650
485,0.0061322500
486,0.0074921690
487,0.0080772680
488,0.0095932320
489,0.0085862130
490,0.0082323710
491,0.0085117410
492,0.0080964760
493,0.0081147870
494,0.0076498400
495,0.0081551710
496,0.0084347530
497,0.0091609260
498,0.0081025130
499,0.0081149890
500,0.0082011920
501,0.0086792590
502,0.0086405600
503,0.0081514410
504,0.0082143740
505,0.0079917030
506,0.0085254280
507,0.0083542830
508,0.0092520520
509,0.0088479400
510,0.0086201270
511,0.0087287680
512,0.0085972560
513,0.0089113100
514,0.0090826090
515,0.0087666450
516,0.0087418140
517,0.0091975320
518,0.0096711320
519,0.0094279050
520,0.0091333830
521,0.0095645160
522,0.0093626920
523,0.0086021800
524,0.0070043840
525,0.0073179930
526,0.0072989370
527,0.0080924610
528,0.0076774230
529,0.0072602300
530,0.0074749250
531,0.0070933310
532,0.0070268380
533,0.0069878590
534,0.0072181320
535,0.0073301900
536,0.0072421830
537,0.0076991770
538,0.0075906590
539,0.0070835620
540,0.0072326450
541,0.0075716310
542,0.0080198040
543,0.0099888480
544,0.0077382340
545,0.0074888940
546,0.0077358550
547,0.0074826480
548,0.0078729430
549,0.0075862170
550,0.0075574520
551,0.0084317450
552,0.0080789320
553,0.0079324940
554,0.0078808360
555,0.0079144080
556,0.0081211250
557,0.0079093990
558,0.0081353860
559,0.0078250760
560,0.0077498760
561,0.0077045870
562,0.0077404800
